sample_id	121-Si8-C	123-Si8-C	125-Si8-C	126-Si8-C	127-Si8-C	128-Si8-C	129-Si8-C	130-Si8-C	131-Si8-C	132-Si8-C	133-Si8-C	134-Si8-C	135-Si8-C	136-Si8-C	137-Si8-C	138-Si8-C	386-Si8-C	387-Si8-C	388-Si8-C	389-Si8-C	390-Si8-C	391-Si8-C	392-Si8-C	393-Si8-C	394-Si8-C	395-Si8-C	396-Si8-C	397-Si8-C	49-Si8-C	50-Si8-C	51-Si8-C	52-Si8-C	54-Si8-C	55-Si8-C	56-Si8-C	57-Si8-C	58-Si8-C	59-Si8-C	60-Si8-C	61-Si8-C	62-Si8-C	63-Si8-C	64-Si8-C
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.023134528	0.012715856	0.001877297	0.012237948	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001055761	0.001259033	0.000884757	0.000873225
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Marvinbryantia	0.001208981	0	0	0	0	0	0	0.006055209	0.008667235	0	0.000661376	0	0.003432701	0	0	0.003595506	0	0.000925069	0	0	0	0	0.000668628	0.003663004	0	0	0	0	6.21E-05	4.09E-05	0	0	0	0.003980445	0.003700914	7.36E-05	0	0	0	0.005414823	0.001907625	9.44E-05	0.000165413
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group	0	0	0	0	0	0	0	0	0.00511509	0	0	0	0.001445348	0	0	0.001123596	0	0	0	0	0	0	0	0.023129252	0	0	0	0	0	0	0	0	0	0.005022943	0	0	1.64E-05	0	0	0.005667429	0.002113649	0.000265427	0.000219268
d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004214205	0	0	0	0	0	0	0.00031954	0.005799723	0.022765599	0	6.90E-05	0	0	0.002552961	0	0.000142159	5.38E-05	0	0	0	0	0.000505211	0.000389156	2.36E-05	6.54E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	0	0	0	0	0	0.001172333	0	0.003383793	0	0	0	0	0	0	0	0	0	0.001644568	0	0	0	0	0.010363734	0	0.001557757	0.006118974	0	0	0.000248322	9.55E-05	0.000303868	0.000919773	7.04E-05	0.000718692	0.000301237	0	6.57E-05	0	1.14E-05	0.001133486	0.003258224	0.002825325	0.001534875
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0	0	0	0	0	0	0	0.00284951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018989035	0.005023548	0	0.001968713	0	0	0	0	0	0	0	0.000252727	0	0	0	0	0	0.001612788	0.002357825	0.000578042	0.000800135
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003944905	0.008581894	0.004593386	0.007502394	0	0	0	0	0	0	0	0.000236931	9.68E-05	0	0	0	0	0.001288935	0.001457426	0.000312614	5.00E-05
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	0	0	0	0	0	0	0.00160285	0	0	0	0.002159827	0	0	0	0	0	0	0	0	0	0	0.015311581	0.001569859	0.001278159	0	0	0	0	0	0	8.25E-05	7.92E-05	0	0	4.60E-05	0	0	1.14E-05	0.001619265	0.001503209	0.000772688	0.000126945
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02529511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__uncultured	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000539084	0	0	0	0	0	0	0	0	0.004412945	0.002930403	0.001437929	0.005320847	0.005059022	0	0	0	0	0.000106128	7.92E-05	0.000647612	0.00013986	0	4.38E-05	0	0	0.002545485	0.000846986	0.000342106	2.31E-05
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	0	0	0	0	0	0	0.00160285	0	0	0	0.008099352	0	0	0	0	0	0	0	0.000725646	0.00194949	0	0	0	0	0	0	0	0	1.36E-05	0	2.95E-05	0.000518914	0.000908237	0.002237762	0.000110417	2.19E-05	0	7.39E-05	9.72E-05	0	0	0.000219268
