OTU_ID	121-Si8-C_S25	121-Si8-MAB_S59	122-Si8-MAB_S60	123-Si8-C_S27	123-Si8-MAB_S61	124-Si8-MAB_S62	125-Si8-C_S29	125-Si8-MAB_S63	126-Si8-C_S30	126-Si8-MAB_S64	127-Si8-C_S31	127-Si8-MAB_S65	128-Si8-C_S32	128-Si8-MAB_S66	129-Si8-C_S33	129-Si8-MAB_S67	130-Si8-C_S34	130-Si8-MAB_S68	131-Si8-C_S35	131-Si8-MAB_S69	132-Si8-C_S36	132-Si8-MAB_S70	133-Si8-C_S37	133-Si8-MAB_S71	134-Si8-C_S38	134-Si8-MAB_S72	135-Si8-C_S39	135-Si8-MAB_S73	136-Si8-C_S40	136-Si8-MAB_S74	137-Si8-C_S41	137-Si8-MAB_S75	138-Si8-C_S42	138-Si8-MAB_S76	386-Si8-content_S13	386-Si8-MAB_S1	387-Si8-content_S14	387-Si8-MAB_S2	388-Si8-content_S15	388-Si8-MAB_S3	389-Si8-content_S16	389-Si8-MAB_S4	390-Si8-content_S17	390-Si8-MAB_S5	391-Si8-content_S18	391-Si8-MAB_S6	392-Si8-content_S19	392-Si8-MAB_S7	393-Si8-content_S20	393-Si8-MAB_S8	394-Si8-content_S21	394-Si8-MAB_S9	395-Si8-content_S22	395-Si8-MAB_S10	396-Si8-content_S23	396-Si8-MAB_S11	397-Si8-content_S24	397-Si8-MAB_S12	49-Si8-C_S16	49-Si8-MAB_S18	50-Si8-C_S17	50-Si8-MAB_S19	51-Si8-C_S18	51-Si8-MAB_S20	52-Si8-C_S19	52-Si8-MAB_S21	53-Si8-MAB_S22	54-Si8-C_S21	54-Si8-MAB_S23	55-Si8-C_S22	55-Si8-MAB_S24	56-Si8-C_S23	56-Si8-MAB_S25	57-Si8-C_S25	57-Si8-MAB_S26	58-Si8-C_S26	58-Si8-MAB_S27	59-Si8-C_S27	59-Si8-MAB_S28	60-Si8-C_S28	60-Si8-MAB_S29	61-Si8-C_S29	61-Si8-MAB_S30	62-Si8-C_S30	62-Si8-MAB_S31	63-Si8-C_S31	63-Si8-MAB_S32	64-Si8-C_S32	64-Si8-MAB_S33
Genus_032	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	6	104	0	0	0	171	0	81	0	22	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	18	10	0	0	7	0	34	0	0	0	0	0	24	17	0	16	104	0	37	3	0
Genus_033	143	622	3539	77	1116	170	576	2957	46	742	3428	9971	674	2547	308	469	1317	860	2242	7616	4345	3091	2045	29310	1141	941	2989	15534	4018	7464	7472	20161	3646	20773	4033	568	1826	129	17646	200	9112	7842	5403	1604	5876	1567	1507	357	10832	176	19065	3266	11763	4174	325	17861	17496	3338	17469	2445	15624	2668	5294	1822	4068	254	3308	104028	413	15261	1084	37186	16080	4336	242	30176	7927	55466	33677	24211	373	72466	5327	74924	7604	113061	1188	61395	10315
Genus_034	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_035	0	28	0	0	22	18	0	0	0	9	0	14	0	8	0	4	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0
Genus_036	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	13	0	35	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	8	0	0	0	0	0	0	0	0	72	7	0	0	33	9	382	5	0
Genus_037	0	0	5	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	9	19	25	0	62	0	72	0	0	0	0	0	24	15	36	0	17	0	9	0	0
Genus_038	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	13	0	13	0	0	0	0	0	0	0	0	0	19	0	0	0	0
Genus_039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	36	0	0	0	0	0	0
Genus_040	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	7	35	0	149	3	53	0	10	0	0	0	0	0	0	0	491	0	0	0	4	0	0	0	37	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	24	0	16	0	23	25	17	0	102	0	0	0	0	0	86	0	142	0	8	0	0	0	11	33	71	0	9	0	7	0	0
Genus_041	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	22	0	0	0	0	0	0	0	0	0	2	0	146	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	10	17	0	10	47	0	10	0	0
Genus_042	0	27	18	0	8	13	0	0	0	0	0	10	0	12	0	0	0	0	0	0	0	19	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	34	0	137	11	167	64	18	0	0	0	0	0	0	0	68	7	0	0	0	0	2779	16
Genus_043	7	45	173	0	14	0	0	0	0	0	0	0	0	4	0	0	34	128	61	213	0	158	3	93	0	13	19	169	0	13	0	0	16	1054	0	0	9	0	0	0	0	0	0	0	0	0	10	0	70	0	0	75	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	504	125	344	115	8	60	0	201	0	11	0	0	836	87	250	299	16	0	43	18
Genus_044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	6	0	0	0	40	0	0	0	28	4	38	25	105	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	9	37	77	4	34	0	0	0	0	3	0	0	0	3	52	11	13	19	2	14	5	6
Genus_045	0	0	10	0	3	0	0	0	0	0	0	0	0	7	0	0	3	22	0	4	0	24	0	38	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	145	10	16	40	0	20	0	0	0	0	0	4	13	0	42	65	36	6	16	0
Genus_046	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	57	0	0	0	0	0	0	0	0	0	6	0	313	0	0	0	0	0	98	0	0	0	209	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	10	8	0	60	0	0	95	0	0	0	0	15	0	0	0	11	17	0	8	0	30	58	13	49	111	79	62	21	12
Genus_047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	21	0	0	0	0	0	0	0	0
Genus_048	0	7	47	0	0	7	0	0	0	42	0	0	0	15	0	0	9	766	0	0	0	0	0	0	30	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	22	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	5	0	0	59	0	115	0	208	80	12	0	4	5	0	0	13	0	15	45	0	0	0	0	57	0
Genus_049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Genus_050	0	0	273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	7	0	0	0	46	0	0	0	0	0	0	0	0	0	28	0	0	11	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	6	0	0	0	21	0	0	0	3	0	0	0	0	0	13	0	18	0	4	0	0
Genus_051	0	0	46	0	32	0	0	0	0	0	0	0	0	18	0	0	29	258	135	778	0	33	12	364	0	7	108	705	0	37	7	15	16	165	0	0	0	0	0	12	0	0	0	0	0	0	436	170	371	28	193	20	1034	195	0	0	0	19	0	0	0	0	0	0	0	0	472	0	60	265	29	350	176	0	27	0	506	0	24	0	16	2839	104	1142	688	872	56	303	99
